City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rawson,0,AR,1573148554,57,-43.3,-65.11,50.67,13.69
Schleswig,75,DE,1573148554,86,54.52,9.57,42.01,10.29
Evanston,1,US,1573148323,50,42.04,-87.69,32.0,13.87
Casper,1,US,1573148272,68,42.87,-106.31,34.0,20.8
Batticaloa,82,LK,1573148554,88,7.71,81.69,75.31,0.43
Pevek,71,RU,1573148554,64,69.7,170.27,27.93,11.86
Nanortalik,100,GL,1573148555,71,60.14,-45.24,33.6,30.53
Abu Samrah,0,SY,1573148555,44,35.3,37.18,67.71,6.78
Port Blair,57,IN,1573148555,81,11.67,92.75,81.79,19.44
Te Anau,54,NZ,1573148555,78,-45.41,167.72,47.39,13.02
Qasigiannguit,20,GL,1573148555,38,68.82,-51.19,24.8,5.82
Ambovombe,0,MG,1573148556,54,-25.18,46.09,81.93,8.46
Inirida,38,CO,1573148556,71,3.87,-67.92,87.46,2.71
Atagay,0,RU,1573148556,87,55.1,99.39,28.35,2.48
Longyearbyen,96,NO,1573148556,66,78.22,15.63,14.0,2.24
Alofi,100,NU,1573148556,100,-19.06,-169.92,66.2,1.12
Jalapa,40,GT,1573148556,64,14.63,-89.98,71.6,23.04
Ciudad Bolivar,67,VE,1573148556,51,8.12,-63.55,91.29,9.98
Takoradi,48,GH,1573148557,81,4.89,-1.75,81.41,8.5
Montrose,40,GB,1573148557,81,56.71,-2.47,42.8,11.41
Middle Island,40,US,1573148557,67,40.88,-72.94,59.0,12.75
Marrakesh,82,MA,1573148557,29,31.63,-7.99,66.11,11.03
Agadez,0,NE,1573148557,14,16.97,7.99,93.2,6.93
Nyzhnya Duvanka,89,UA,1573148557,88,49.58,38.17,55.15,4.36
Lagunas,100,PE,1573148557,97,-5.23,-75.68,74.66,1.03
Draguignan,100,FR,1573148557,82,43.54,6.46,57.2,2.24
Osakarovka,89,KZ,1573148558,79,50.56,72.58,31.03,17.74
Kedrovyy,0,RU,1573148558,51,56.17,91.82,37.4,13.42
Bow Island,75,CA,1573148558,71,49.87,-111.38,8.6,2.24
Sudak,77,UA,1573148558,68,44.85,34.97,58.05,4.99
Cayenne,40,GF,1573148558,63,4.94,-52.33,91.4,5.82
Mizdah,0,LY,1573148558,56,31.45,12.98,60.26,6.35
Turukhansk,100,RU,1573148558,93,65.8,87.96,17.73,11.56
Oconomowoc,1,US,1573148277,53,43.11,-88.5,27.0,14.99
Mineral Wells,90,US,1573148559,87,32.81,-98.11,46.99,17.22
Vardo,90,US,1573148559,76,39.62,-77.74,61.0,4.47
Sinnamary,7,GF,1573148559,77,5.38,-52.96,82.92,12.97
Evansville,90,US,1573148559,100,37.97,-87.56,42.8,8.05
Kavieng,100,PG,1573148560,77,-2.57,150.8,83.46,13.78
Adrar,0,DZ,1573148560,17,27.87,-0.29,77.0,9.17
Qaqortoq,75,GL,1573148560,26,60.72,-46.03,42.8,31.09
Tevaitoa,37,PF,1573148560,78,-16.78,-151.5,80.26,19.26
Miranda,97,BR,1573148560,28,-20.24,-56.38,101.34,5.06
Lauria,92,IT,1573148560,98,40.05,15.84,47.57,3.67
Savalou,2,BJ,1573148560,58,7.93,1.98,84.54,3.2
Namibe,100,AO,1573148561,85,-15.19,12.15,73.89,10.13
Erzin,0,TR,1573148561,59,36.95,36.2,73.99,5.82
Sovetskiy,100,RU,1573148561,86,56.76,48.47,30.38,12.55
Coquimbo,0,CL,1573148561,88,-29.95,-71.34,57.9,6.29
Poya,17,NC,1573148561,66,-21.35,165.16,70.9,7.14
Lyuban,73,BY,1573148562,89,52.8,28.0,44.42,4.97
Sande,90,NO,1573148562,79,59.59,10.21,30.99,9.17
Hashtrud,0,IR,1573148562,32,37.48,47.05,46.49,3.42
Tutoia,20,BR,1573148562,62,-2.76,-42.27,87.8,21.92
Beloha,0,MG,1573148562,56,-25.17,45.06,77.77,5.03
Basco,1,US,1573148562,50,40.33,-91.2,34.0,8.05
Muros,75,ES,1573148563,93,42.77,-9.06,55.0,12.75
Walla Walla,1,US,1573148563,75,46.06,-118.33,46.99,4.07
Kurumkan,17,RU,1573148563,82,54.33,110.32,13.3,2.82
Hami,93,CN,1573148563,33,42.84,93.51,47.16,3.11
Barraute,75,CA,1573148563,79,48.43,-77.63,23.0,10.29
Maralal,16,KE,1573148563,75,1.1,36.7,67.59,18.1
Biak,27,ID,1573148564,65,-0.91,122.88,82.4,2.73
Pontes e Lacerda,100,BR,1573148564,90,-15.23,-59.33,74.32,3.6
Bedesa,69,ET,1573148564,43,8.9,40.78,64.24,2.33
Saint-Augustin,90,CA,1573148564,92,45.63,-73.98,34.0,5.82
Ambon,100,FR,1573148564,76,47.55,-2.56,51.01,11.41
Mackenzie,90,CA,1573148564,92,55.34,-123.09,28.4,6.93
Dwarka,75,IN,1573148564,82,28.58,77.04,75.99,3.33
Matamoros,20,US,1573148564,55,25.87,-97.51,87.8,5.82
Goulburn,0,AU,1573148565,59,-34.75,149.72,55.99,22.3
Minab,0,IR,1573148565,64,27.15,57.07,75.2,2.24
Amapa,75,HN,1573148565,74,15.09,-87.97,84.99,6.93
Norman Wells,75,CA,1573148565,84,65.28,-126.83,3.2,5.82
Luau,100,CD,1573148565,93,-10.7,22.23,64.9,4.0
Kamenka,94,MD,1573148565,86,48.03,28.7,48.99,1.25
Hadejia,4,NG,1573148566,13,12.45,10.04,86.38,6.58
Qianguo,58,CN,1573148566,35,45.12,124.86,32.95,17.4
Buluang,75,PH,1573148566,74,10.47,123.98,82.4,6.93
Pisco,90,PE,1573148566,30,-13.71,-76.2,71.6,8.05
Iquitos,75,PE,1573148566,66,-3.75,-73.25,86.0,3.36
Suntar,6,RU,1573148566,96,62.16,117.65,-4.8,2.19
Kazerun,0,IR,1573148567,36,29.62,51.65,68.0,0.56
Merano,75,IT,1573148567,80,46.67,11.16,48.2,5.82
Trzebiatow,20,PL,1573148567,93,54.06,15.26,48.0,11.41
Meulaboh,98,ID,1573148567,76,4.14,96.13,80.71,4.99
Polewali,100,ID,1573148567,79,-4.03,119.8,74.68,0.31
Anaconda,1,US,1573148392,79,46.13,-112.94,27.0,8.21
Mehamn,90,NO,1573148568,100,71.03,27.85,28.4,9.17
Mount Gambier,40,AU,1573148568,93,-37.83,140.78,46.4,10.29
Pangnirtung,20,CA,1573148568,73,66.15,-65.72,19.4,5.93
Sri Aman,100,MY,1573148568,94,1.24,111.46,75.2,2.59
Guarapari,20,BR,1573148308,74,-20.67,-40.5,81.0,14.99
Carutapera,72,BR,1573148568,74,-1.2,-46.02,82.45,15.41
Mattru,100,SL,1573148568,88,7.62,-11.83,79.34,5.14
Oytal,0,KZ,1573148568,56,42.91,73.27,36.32,2.13
Sobolevo,90,RU,1573148569,86,54.43,31.9,44.4,4.43
Ponta Pora,40,BR,1573148569,65,-22.54,-55.73,82.4,11.41
Baykit,100,RU,1573148569,97,61.68,96.39,21.88,3.2
Lavrentiya,4,RU,1573148569,78,65.58,-170.99,27.72,18.63
Vitim,48,RU,1573148569,99,59.44,112.57,-3.23,1.97
Torbay,75,CA,1573148569,56,47.66,-52.73,43.0,34.45
Kudahuvadhoo,100,MV,1573148569,74,2.67,72.89,82.31,11.36
Matozinhos,20,BR,1573148570,48,-19.56,-44.08,82.4,8.05
Broken Hill,0,AU,1573148570,62,-31.97,141.45,59.0,11.41
Lagoa,4,PT,1573148570,39,37.14,-8.45,66.2,14.99
Vila Franca do Campo,75,PT,1573148570,77,37.72,-25.43,66.99,3.36
Labuhan,17,ID,1573148570,80,-2.54,115.51,74.71,1.41
Lambare,90,PY,1573148570,83,-25.35,-57.61,80.6,10.29
Shieli,0,KZ,1573148571,39,44.18,66.74,40.93,8.14
Taoudenni,13,ML,1573148571,15,22.68,-3.98,79.43,4.54
Ngaoundere,0,CM,1573148571,58,7.32,13.58,69.98,3.04
Altay,100,CN,1573148571,97,47.83,88.13,21.7,1.81
Myaundzha,100,RU,1573148571,95,63.05,147.18,8.17,2.64
Puerto Baquerizo Moreno,40,EC,1573148571,78,-0.9,-89.6,75.2,13.87
Udachnyy,0,RU,1573148572,83,66.42,112.4,-11.21,4.47
Kupang,0,ID,1573148572,80,-10.16,123.6,81.01,9.73
Port Macquarie,90,AU,1573148458,93,-31.43,152.91,55.4,9.06
Nurota,0,UZ,1573148572,55,40.56,65.69,39.2,4.7
Moose Factory,20,CA,1573148572,67,51.26,-80.61,17.6,13.87
Pantelimon,100,RO,1573148572,77,44.45,26.2,61.0,2.24
Praya,51,ID,1573148572,95,-8.71,116.27,66.36,3.53
Inhambane,20,MZ,1573148572,94,-23.87,35.38,77.0,19.46
Mezen,29,RU,1573148573,91,65.85,44.24,16.05,6.04
Twin Falls,3,US,1573148573,55,42.57,-114.46,41.0,4.7
Soller,75,DE,1573148573,75,50.73,6.56,46.99,9.17
Toora-Khem,100,RU,1573148573,96,52.47,96.11,28.26,1.74
Marawi,69,PH,1573148574,85,8.0,124.29,75.99,5.01
Hun,75,BE,1573148574,81,50.34,4.87,44.6,13.87
Porto Novo,75,BR,1573148574,65,-23.68,-45.44,77.0,3.36
Ratnagiri,0,IN,1573148574,92,16.98,73.3,70.18,2.51
Frederick,75,US,1573148300,62,39.41,-77.41,59.0,4.7
Renqiu,0,CN,1573148575,55,38.71,116.1,42.51,5.95
Juegang,17,CN,1573148575,75,32.31,121.18,57.0,11.77
The Valley,15,AI,1573148575,72,18.22,-63.06,87.01,8.01
Ormara,0,PK,1573148575,33,25.21,64.64,80.37,24.92
Xiaoyi,27,CN,1573148575,75,37.15,111.77,44.24,3.29
Cotonou,40,BJ,1573148575,74,6.37,2.43,86.0,10.29
Ust-Tsilma,82,RU,1573148576,97,65.44,52.15,8.1,2.84
Sambava,57,MG,1573148576,91,-14.27,50.17,70.75,2.15
Levelland,90,US,1573148576,86,33.59,-102.38,33.8,16.11
Beringovskiy,97,RU,1573148576,88,63.05,179.32,30.38,14.27
Hambantota,0,LK,1573148576,79,6.12,81.12,81.54,13.11
Kushikino,46,JP,1573148576,75,31.72,130.27,54.82,4.05
Saskylakh,0,RU,1573148577,99,71.97,114.09,-24.9,4.38
Akonolinga,97,CM,1573148577,93,3.77,12.24,70.81,2.1
Kizilskoye,100,RU,1573148577,76,52.73,58.89,39.25,19.6
Ixtapa,75,MX,1573148577,70,20.71,-105.21,86.0,3.33
Tommot,56,RU,1573148577,96,58.97,126.27,-14.86,1.72
Buraydah,40,SA,1573148577,36,26.33,43.97,77.0,3.36
Makakilo City,75,US,1573148577,74,21.35,-158.09,78.8,11.41
Vagur,53,FO,1573148578,70,61.47,-6.81,40.14,22.46
Katherine,4,AU,1573148578,62,-14.47,132.26,84.2,6.93
Genhe,0,CN,1573148578,69,50.78,121.52,10.18,6.96
Napasar,0,IN,1573148578,45,27.97,73.56,68.4,17.02
Dali,0,CN,1573148578,64,34.79,109.94,51.1,12.71
Pandan,48,PH,1573148578,79,11.72,122.09,81.09,19.46
Balikpapan,61,ID,1573148579,91,-1.24,116.86,75.7,2.35
Srandakan,0,ID,1573148579,91,-7.94,110.25,70.57,0.27
Margate,99,AU,1573148579,70,-43.03,147.26,42.8,6.93
Nome,75,US,1573148579,78,30.04,-94.42,78.8,4.7
Salmas,0,IR,1573148579,75,38.2,44.77,41.0,6.93
Midlothian,90,US,1573148579,100,32.48,-96.99,50.0,14.99
Carnarvon,0,ZA,1573148580,21,-30.97,22.13,61.86,14.99
Bontang,73,ID,1573148580,86,0.12,117.47,77.81,6.17
Barra Velha,75,BR,1573148580,83,-26.63,-48.68,73.4,5.82
Yulara,0,AU,1573148580,18,-25.24,130.99,71.6,8.05
Kansanshi,79,ZM,1573148580,86,-12.1,26.43,62.94,4.63
Inuvik,75,CA,1573148580,85,68.36,-133.71,12.2,3.36
Kpandae,23,GH,1573148581,49,8.46,-0.01,86.49,1.72
Alugan,99,PH,1573148581,87,12.22,125.48,77.74,4.25
Husavik,35,CA,1573148581,76,50.56,-96.99,17.01,5.99
Kapit,85,MY,1573148581,99,2.02,112.94,71.26,0.96
Bima,44,ID,1573148581,91,-8.45,118.73,74.1,3.58
Cedral,48,MX,1573148581,51,23.82,-100.72,70.02,3.49
Wagga Wagga,90,AU,1573148581,58,-35.12,147.37,59.0,8.05
Tres Passos,89,BR,1573148582,84,-27.46,-53.93,78.6,5.48
Mariental,90,BR,1573148582,68,-25.72,-49.65,78.01,3.36
Autazes,33,BR,1573148582,24,-3.58,-59.13,102.67,4.68
Srednekolymsk,84,RU,1573148582,94,67.46,153.71,2.48,7.43
Leh,100,IN,1573148582,93,34.16,77.58,19.09,1.95
Channel-Port aux Basques,67,CA,1573148583,65,47.57,-59.14,40.15,26.24
Senneterre,75,CA,1573148583,79,48.39,-77.24,23.0,10.29
Eyl,14,SO,1573148583,83,7.98,49.82,79.93,7.16
Lashio,11,MM,1573148583,89,22.93,97.75,62.06,1.45
Anshun,98,CN,1573148583,77,26.25,105.93,51.85,5.86
Yaan,40,NG,1573148583,73,7.38,8.57,81.9,3.56
Naron,40,ES,1573148583,81,43.52,-8.15,52.0,16.11
Pringsewu,6,ID,1573148584,97,-5.36,104.98,67.96,4.23
Turgenevo,100,RU,1573148584,74,54.84,46.32,42.04,11.86
Henties Bay,0,NA,1573148584,63,-22.12,14.28,61.74,4.47
High Level,90,CA,1573148584,85,58.52,-117.13,14.0,6.93
Yakeshi,0,CN,1573148585,81,49.28,120.73,14.16,5.82
Matara,99,BI,1573148585,87,-3.48,29.48,60.37,4.85
Honningsvag,90,NO,1573148585,92,70.98,25.97,28.4,14.99
Bilma,0,NE,1573148585,13,18.69,12.92,82.08,6.78
Jammal,20,TN,1573148585,77,35.62,10.76,66.2,3.36
Sur,43,OM,1573148586,63,22.57,59.53,76.87,3.71
Malaya Vishera,24,RU,1573148586,87,58.85,32.22,21.94,5.68
Cam Ranh,20,VN,1573148586,83,11.92,109.15,78.8,5.82
Severo-Kurilsk,100,RU,1573148586,95,50.68,156.12,37.08,23.76
Los Llanos de Aridane,75,ES,1573148586,93,28.66,-17.92,66.2,14.99
Tabas,0,IR,1573148586,14,33.6,56.92,57.2,4.7
Newport,52,GB,1573148513,86,51.59,-3.0,43.0,3.36
Isangel,44,VU,1573148587,87,-19.55,169.27,70.88,9.31
Dongying,0,CN,1573148587,52,37.43,118.67,44.04,3.29
Santa Maria,40,BR,1573148587,65,-16.02,-48.01,84.0,4.7
Tura,99,RU,1573148587,97,64.27,100.22,-0.17,2.84
Calama,29,CL,1573148587,9,-22.46,-68.93,82.0,5.01
Sirjan,0,IR,1573148587,31,29.44,55.67,52.61,4.52
Peniche,20,PT,1573148587,58,39.36,-9.38,61.0,12.75
Catuday,100,PH,1573148588,76,16.29,119.81,82.81,12.77
Tual,66,ID,1573148588,80,-5.67,132.75,79.83,2.82
Lulea,90,SE,1573148588,92,65.58,22.15,17.6,3.36
Havre-Saint-Pierre,1,CA,1573148588,54,50.23,-63.6,30.2,24.16
Ibra,76,OM,1573148588,62,22.69,58.55,75.94,8.68
Talbahat,53,IN,1573148588,56,25.05,78.43,75.85,5.3
Marzuq,62,YE,1573148589,42,14.4,46.47,68.09,3.4
Praia da Vitoria,75,PT,1573148589,93,38.73,-27.07,62.6,9.06
Dinguiraye,49,GN,1573148589,48,11.29,-10.71,85.62,1.61
Susaki,42,JP,1573148589,78,33.42,133.28,54.0,6.2
Xonacatlan,20,MX,1573148589,63,19.4,-99.53,77.0,4.7
Lengshuitan,0,CN,1573148589,58,26.41,111.6,57.72,4.59
Bam,0,IR,1573148590,18,29.11,58.36,52.38,2.98
Qostanay,100,KZ,1573148590,45,53.17,63.58,42.8,22.37
Los Boquerones,83,PA,1573148590,72,8.08,-80.85,85.5,3.09
Bukavu,66,CD,1573148590,94,-2.51,28.86,61.74,1.61
Amos,75,CA,1573148590,79,48.57,-78.12,23.0,10.29
Barcelos,72,BR,1573148590,42,-0.97,-62.93,95.13,4.52
Tocopilla,0,CL,1573148590,16,-22.09,-70.2,78.82,12.15
Sioux Lookout,90,CA,1573148565,78,50.1,-91.92,14.0,2.24
Jumla,98,NP,1573148591,94,29.28,82.18,37.15,2.62
Maceio,40,BR,1573148423,58,-9.67,-35.74,86.0,13.87
Antanifotsy,70,MG,1573148591,76,-19.66,47.32,59.36,2.24
Monywa,71,MM,1573148591,76,22.12,95.13,77.23,2.08
Nilokheri,44,IN,1573148591,71,29.84,76.93,65.34,5.99
Ancud,47,CL,1573148434,62,-41.87,-73.83,51.49,13.56
Damphu,50,BT,1573148592,73,27.07,90.11,56.25,5.08
Touba,91,SN,1573148592,22,14.86,-15.88,100.4,8.57
Mineiros,100,BR,1573148592,41,-17.57,-52.55,88.3,6.35
Jaguaruna,77,BR,1573148593,72,-28.62,-49.03,74.05,1.79
East Wenatchee Bench,1,US,1573148593,74,47.43,-120.28,42.01,2.26
Lazi,20,HR,1573148593,76,45.57,14.64,54.0,5.82
Price,1,US,1573148467,23,39.6,-110.81,52.0,3.36
Lhokseumawe,91,ID,1573148593,88,5.18,97.15,72.0,1.83
Ouegoa,0,NC,1573148593,88,-20.34,164.44,61.21,2.71
Arecibo,1,PR,1573148348,66,18.47,-66.72,89.01,17.22
Guzelyurt,0,TR,1573148594,46,38.28,34.37,53.6,3.36
Oswego,1,US,1573148594,64,37.17,-95.11,37.99,12.75
Dennery,40,LC,1573148594,70,13.9,-60.89,87.8,10.29
Shingu,19,JP,1573148594,72,33.72,135.99,60.46,6.15
Westport,90,US,1573148594,54,41.14,-73.36,59.0,17.22
Ola,100,RU,1573148594,83,59.58,151.3,34.34,19.69
Kologriv,100,RU,1573148595,94,58.83,44.31,15.39,6.46
Katsuura,75,JP,1573148595,71,33.93,134.5,57.2,6.93
Russkaya Polyana,100,RU,1573148595,81,53.78,73.88,34.18,15.64
Xuddur,100,SO,1573148595,71,4.12,43.89,79.14,6.46
Traverse City,75,US,1573148416,80,44.76,-85.62,32.0,12.75
Okato,40,NZ,1573148595,93,-39.19,173.88,60.01,8.99
Abha,25,SA,1573148595,72,18.22,42.5,66.2,4.7
Itarema,68,BR,1573148595,51,-2.92,-39.92,88.36,16.44
Abnub,0,EG,1573148596,53,27.27,31.15,77.0,5.82
Ugoofaaru,84,MV,1573148596,77,5.67,73.0,82.78,8.79
Nhulunbuy,0,AU,1573148596,83,-12.18,136.78,75.2,13.38
Yukhnov,100,RU,1573148596,88,54.74,35.23,43.32,4.7
Grindavik,75,IS,1573148596,86,63.84,-22.43,39.2,11.41
Octeville,40,FR,1573148596,76,49.63,-1.64,50.0,9.17
Batagay-Alyta,98,RU,1573148596,97,67.8,130.41,-7.37,1.25
Falam,82,MM,1573148597,99,22.91,93.68,59.34,2.91
Kamisu,40,JP,1573148597,87,35.89,140.67,60.01,6.93
Dalvik,75,SE,1573148597,94,57.79,14.13,37.99,4.7
Vila do Maio,20,CV,1573148597,54,15.13,-23.22,82.4,20.8
Sheksna,90,RU,1573148597,100,59.21,38.5,17.6,8.95
Vetapalem,100,IN,1573148597,80,15.78,80.32,73.26,3.56
Olinda,90,AU,1573148598,71,-37.84,145.39,55.0,12.75
